q_id,query,label_status,gold_web_ids,clarify_note
5287,Почему не начислен кэшбэк 0% за оплату ЖКУ за 00 августа?,ok,"1516,1552,1902",
6019,"Добрый день, прошу прислать надбавку по кредиту к сумме ОСЗ из кред договора XXXXX",need_clarify,,ask_product|route_support::нужен продукт и договор; решается через поддержку
2982,У меня там оставались деньги на счете,need_clarify,,ask_product|how_to_check|route_support::какой счёт/продукт и что именно нужно сделать (увидеть остаток / вывести / счёт закрыт?)
3348,Что за услуга Альфа чек. И как ее отключить? Откуда она взялась?,no_answer,,
470,У ребёнка не получается войти в лк,need_clarify,,"ask_channel|ask_details|route_support::где вход (приложение/веб), какая ошибка, приходит ли код; при блокировке — в поддержку"
539,Номер кредитного страхования,need_clarify,"194,259",ask_product|how_to_check::какой продукт (кредит наличными/ипотека/кредитка) и где ищете номер — в приложении или в документах? Нужен номер полиса/сертификата или номер кредитного договора?
3177,Добрый день У меня подключены быстрые платежи?,need_clarify,292,"ask_channel|ask_product|how_to_check::уточнить: физлицо или бизнес и где хотите проверить (приложение/веб). Дам шаги, как посмотреть статус СБП и как подключить."
6128,Где найти автоплатежи?,ok,"1304,1704",
1048,0% в этом месяце за оплату картой Альфа Пэй,need_clarify,1746,"ask_details|ask_product|docs_policy::уточните карту/тариф и какие покупки были через Альфа Pay (категория/MCC), где смотрите кэшбэк; проверим условия и возможные исключения"
1331,То есть по идеи сегодня уже могут быть готовы документы ,need_clarify,,"ask_details|ask_product|how_to_check::уточните, по какому продукту/заявке и какие именно документы; где подаёте (приложение/офис) — подскажу, где посмотреть статус и сроки готовности."
6344,где можно оценить консультацию?,need_clarify,862,"ask_channel|ask_details|ask_product::уточните, какую консультацию хотите оценить (инвестиции/ипотека/премиум/поддержка) и где она была (чат/звонок/офис/приложение) — подскажу, где оставить отзыв/оценку."
6577,Пуш сообщения это где? ,need_clarify,"1704,1705,1760,1761",ask_channel|ask_details|how_to_check::Где именно: приложение Альфа-Онлайн/Альфа-Мобайл или веб? Про какие уведомления (по операциям/маркетинг/вместо SMS)? Подскажу где включить в настройках.
3859,Здравствуйте кэшбэк,need_clarify,"1201,1541,1624,1746","ask_details|ask_product|how_to_check::Уточните, пожалуйста: кэшбэк по какому продукту/карте и что нужно — узнать условия, где посмотреть начисления или почему не начислился (дата/категория/партнёр)?"
3415,Как можно регистрировать карту без номера телефона,need_clarify,,ask_channel|ask_details|route_support::Уточните: что значит ‘зарегистрировать’ (активировать/привязать к Альфа-Онлайн/сменить номер)? Карта дебетовая или кредитная? Есть доступ к старому номеру/SMS? Если номера нет — нужен контакт с поддержкой или отделением для смены/подтверждения данных.
961,"Я хочу установить свой пинкод для входа в приложение! Но из за двух одинаковых цифр приложение блокирует такой пароль! И я постоянно его забываю! Ваш долбанный банк, единственный банк который не дает установить мне привычный пин код! ",need_clarify,"116,862","ask_details|route_support::Уточнить: это код для входа в Альфа-Мобайл/Альфа-Онлайн или ПИН карты? iOS/Android, версия приложения, где именно блокирует (вход/подтверждение). Если сброс/восстановление кода не помогает — в Альфа-Консультант/поддержку."
4809,"В уведомлениях нет, но сообщение пришло от альфа банк и от него приходят все другие смс",need_clarify,"1758,1760,1761,1762","ask_channel|ask_details|route_support::где именно нет уведомлений (приложение/центр уведомлений телефона/история операций), iOS/Android, включены ли push в настройках телефона и Альфа-приложения, нет ли “Не беспокоить/фокус”, актуальна ли версия; если после проверки не появится — в чат/поддержку."
